size_sqft,bedrooms,age_years,location_score,garage_spaces,has_pool,crime_rate,school_rating,price
1748.3570765056163,2,15.632815717760973,3.4467314101254773,2,0,1.2593431125058911,4.225607835414153,296535.3393453681
1430.8678494144076,2,8.911654945579173,3.4992853377140767,0,0,3.1796454521217727,8.426032439070571,498680.3350818947
1823.8442690503462,3,42.95910997055542,5.430125100143456,0,0,12.7968305540451,7.389709124677921,491898.9131215323
2261.514928204013,2,20.17613832536147,3.8350188111590713,2,0,1.7646476344236635,8.641802925791124,563757.2741058376
1382.923312638332,2,19.927185718269126,0.014257282875326238,0,0,11.799932439131437,7.330160281435947,379107.8903714036
1382.9315215254096,3,8.494333740331001,7.317720250869874,2,0,0.2757314791028463,8.28701368365299,563017.764946215
2289.6064077536957,3,19.153283804288932,7.517170414784834,2,0,0.43609538379565077,4.045551049008287,359838.42668492475
1883.7173645764544,4,43.58084231644251,7.469746046867705,2,0,5.9959384419680095,7.966089271273741,534351.3926031614
1265.262807032524,3,18.156435524481797,3.450206666104666,1,0,1.057264899624539,7.686607584810261,444899.7235785685
1771.2800217929823,1,47.5801781249894,5.222894733111719,2,1,1.9035260244943508,7.422979252410827,477769.68287521094
1268.291153593769,2,47.31544496041937,3.5997351817666945,2,1,0.7330714716659432,8.594853956490917,585556.2157394739
1267.1351232148716,5,7.244932965367301,0.1603640003064577,3,0,2.0191941745319673,6.811012088122171,447908.33714581386
1620.981135783017,3,8.865562676132244,5.624489412714188,2,0,1.6457157577464354,5.0405423241800165,363081.9783123921
543.359877671101,3,43.13370351659446,1.2376066608401104,2,1,6.665429649681097,5.231259087585668,228556.45103580866
637.5410837434836,1,19.63804594623596,0.800413240914406,0,0,6.053701397063017,6.57365504310229,238537.30815020594
1218.8562353795137,3,0.21869911415046683,7.554990686967872,2,0,15.497378978294742,8.229755948768757,565918.0384506928
993.5844398327881,1,13.69359098526855,0.09506202418105625,3,0,6.444417132199711,8.303019074923963,461613.06972282677
1657.1236662976369,3,29.881449659778,9.590084436087261,1,0,5.934230748739551,6.002971442841481,414560.7195256008
1045.9879622393946,4,39.9632982979984,5.152553641125769,1,0,5.924183516176587,7.699637465003921,401514.5952990756
793.8481493323543,5,6.669430854662978,9.830164307061484,0,1,10.726516130048154,7.663830547448825,467899.7923509044
2232.824384460777,3,5.527068220836767,0.5799757247270843,2,1,1.7565662383204363,6.834829164723968,532109.8278635192
1387.1118497567322,3,46.10463267861658,5.835295488659132,1,1,1.7840326857965896,7.274717818576453,507818.0337569921
1533.764102343962,4,37.55741839112913,3.493270359759112,0,0,6.758765391541186,8.060222848196418,457563.72940944496
787.6259068932716,3,29.48898003890392,8.434824928142858,2,0,1.298422682215554,6.6022699791496,420025.5870433398
1227.8086377374086,1,38.4593394997964,3.6122273523428627,2,0,12.153229051041507,6.417164008042379,285020.6827942083
1555.461294854933,3,21.442718065331924,2.604875790573491,1,0,3.826242875585735,3.595688716220908,206042.4220293513
924.5032112888485,2,37.92278736545633,8.575531270999132,1,0,1.7842671428510597,7.3151749578666685,429065.79393683444
1687.849009172836,3,18.590149563726786,3.7465309165326097,1,0,7.4827772067664045,5.518804184106921,314064.7257415625
1199.6806550405975,3,12.204728624630118,0.1683331986056147,1,0,1.8721629073542467,2.532700748251595,154199.65204939773
1354.1531251033616,3,36.45067106464843,3.902891008393338,1,0,16.52193941452015,7.649495003010486,410438.06256902195
1199.1466938853016,2,20.983614607863416,6.545222690109419,2,0,20.36953707108524,7.0487155302978195,390962.7971207558
2426.139092254469,2,49.06885521630974,2.5435953880638182,2,0,5.49500545070098,6.1675651813943,438715.8189813475
